#,Zip Code,Location,City,Population,Avg. Income/H/hold,National Rank
1,7078,"40.741036, -74.330477","Short Hills, New Jersey",12849,"$185,466.00",#3
2,7021,"40.827431, -74.280769","Essex Fells, New Jersey",2151,"$149,386.00",#23
3,7970,"40.813672, -74.575196","Mount Freedom, New Jersey",258,"$148,899.00",#24
4,7046,"40.887678, -74.440666","Mountain Lakes, New Jersey",4260,"$141,757.00",#31
5,7842,"40.942121, -74.512172","Hibernia, New Jersey",93,"$133,358.00",#43
6,7931,"40.681427, -74.616525","Far Hills, New Jersey",2766,"$132,919.00",#45
7,7417,"41.007529, -74.205652","Franklin Lakes, New Jersey",10422,"$132,373.00",#47
8,7423,"40.999485, -74.096574","Ho Ho Kus, New Jersey",4060,"$129,900.00",#52
9,8550,"40.280155, -74.614673","Princeton Junction, New Jersey",17632,"$129,375.00",#55
10,7458,"41.046652, -74.096511","Saddle River, New Jersey",10939,"$129,163.00",#56
11,7620,"40.984877, -73.912695","Alpine, New Jersey",1649,"$128,287.00",#60
12,7945,"40.781948, -74.599501","Mendham, New Jersey",9414,"$127,481.00",#63
13,8558,"40.415918, -74.704427","Skillman, New Jersey",5202,"$126,027.00",#69
14,8535,"40.226835, -74.451077","Millstone Township, New Jersey",2073,"$118,412.00",#97
15,7979,"40.710140, -74.730717","Pottersville, New Jersey",339,"$117,953.00",#101
16,8720,"40.135366, -74.098050","Allenwood, New Jersey",933,"$117,071.00",#108
17,7043,"40.844837, -74.200502","Montclair, New Jersey",11915,"$115,498.00",#116
18,7733,"40.374964, -74.173849","Holmdel, New Jersey",15528,"$114,985.00",#118
19,8502,"40.462506, -74.644112","Belle Mead, New Jersey",19217,"$114,854.00",#119
20,8836,"40.596376, -74.557320","Martinsville, New Jersey",3962,"$113,639.00",#127
21,7930,"40.781167, -74.684234","Chester, New Jersey",8081,"$109,479.00",#152
22,7722,"40.294420, -74.161841","Colts Neck, New Jersey",12369,"$108,608.00",#155
23,7632,"40.888066, -73.948143","Englewood Cliffs, New Jersey",5322,"$106,478.00",#172
24,7946,"40.662272, -74.524786","Millington, New Jersey",3000,"$105,511.00",#186
25,7920,"40.677383, -74.564513","Basking Ridge, New Jersey",24600,"$105,471.00",#187
26,7401,"41.032669, -74.133826","Allendale, New Jersey",6674,"$105,387.00",#189
27,7922,"40.676393, -74.425027","Berkeley Heights, New Jersey",12412,"$105,056.00",#194
28,7928,"40.725966, -74.409706","Chatham, New Jersey",18130,"$104,936.00",#196
29,7450,"40.981591, -74.113506","Ridgewood, New Jersey",24936,"$104,286.00",#203
30,7452,"40.959471, -74.125202","Glen Rock, New Jersey",11546,"$104,192.00",#205
31,7028,"40.804798, -74.204569","Glen Ridge, New Jersey",7431,"$104,106.00",#206
32,7934,"40.701629, -74.704734","Gladstone, New Jersey",1482,"$104,078.00",#207
33,7059,"40.634588, -74.519044","Warren, New Jersey",14219,"$103,825.00",#214
34,7481,"40.999093, -74.168849","Wyckoff, New Jersey",16508,"$103,614.00",#216
35,7924,"40.730394, -74.592580","Bernardsville, New Jersey",7282,"$103,506.00",#217
36,7853,"40.784843, -74.798225","Long Valley, New Jersey",13554,"$103,326.00",#219
