,Tax Year,County,Municipality,Zip Code,Property Type,Property Count,Avg Land Value,Avg Bldg. Value,Avg Property Value,Prior Year Tax
0,2019,ATLANTIC,ABSECON CITY, 08201,RESIDENTIAL,2470,$76904.25,$103688.14,$180592.39,$5935.80
8,2019,ATLANTIC,ABSECON CITY,08201,RESIDENTIAL,792,$61028.79,$73660.98,$134689.77,$4476.00
14,2019,ATLANTIC,ATLANTIC CITY CITY, 08401,RESIDENTIAL,3755,$61296.46,$65385.57,$126671.64,$4708.23
20,2019,ATLANTIC,ATLANTIC CITY CITY,08401,RESIDENTIAL,6791,$57860.00,$59687.68,$117483.52,$4406.12
28,2019,ATLANTIC,BRIGANTINE CITY, 08203,RESIDENTIAL,2407,$224343.42,$150998.71,$375342.13,$6462.11
33,2019,ATLANTIC,BRIGANTINE CITY,08203,RESIDENTIAL,6169,$228052.81,$136946.73,$364999.55,$6326.93
36,2019,ATLANTIC,BUENA BORO, 08326,RESIDENTIAL,179,$55219.55,$122843.02,$178062.57,$5695.14
37,2019,ATLANTIC,BUENA BORO, 08341,RESIDENTIAL,153,$51256.21,$120517.65,$171773.86,$5602.31
40,2019,ATLANTIC,BUENA BORO, 08360,RESIDENTIAL,139,$64509.35,$120388.49,$184897.84,$5984.70
43,2019,ATLANTIC,BUENA BORO,08310,RESIDENTIAL,646,$55132.35,$109001.24,$164133.59,$5305.30
44,2019,ATLANTIC,BUENA VISTA TWP, 08094,RESIDENTIAL,588,$54223.64,$123616.33,$177839.97,$4725.19
46,2019,ATLANTIC,BUENA VISTA TWP, 08310,RESIDENTIAL,210,$78942.38,$177495.71,$256438.10,$6702.07
49,2019,ATLANTIC,BUENA VISTA TWP, 08340,RESIDENTIAL,156,$84375.64,$193530.77,$277906.41,$7169.12
51,2019,ATLANTIC,BUENA VISTA TWP, 08346,RESIDENTIAL,133,$64651.13,$140755.64,$205406.77,$5370.70
52,2019,ATLANTIC,BUENA VISTA TWP, 08350,RESIDENTIAL,125,$64076.80,$157737.60,$221814.40,$5790.49
53,2019,ATLANTIC,BUENA VISTA TWP, 08360,RESIDENTIAL,369,$79087.80,$178578.86,$257666.67,$6925.54
55,2019,ATLANTIC,BUENA VISTA TWP,08310,RESIDENTIAL,708,$66704.52,$125991.24,$192695.76,$5077.66
58,2019,ATLANTIC,CORBIN CITY CITY, 08270,RESIDENTIAL,142,$72929.58,$146487.32,$219416.90,$4179.17
61,2019,ATLANTIC,EGG HARBOR CITY, 08215,RESIDENTIAL,855,$36427.84,$87541.99,$123827.95,$6379.08
63,2019,ATLANTIC,EGG HARBOR CITY,08215,RESIDENTIAL,390,$36117.18,$75028.97,$110882.56,$5823.47
73,2019,ATLANTIC,EGG HARBOR TWP, 08232,RESIDENTIAL,139,$50248.92,$123023.02,$173271.94,$5426.24
74,2019,ATLANTIC,EGG HARBOR TWP, 08234,RESIDENTIAL,11691,$54709.53,$158299.44,$213008.97,$6678.37
82,2019,ATLANTIC,EGG HARBOR TWP,08215,RESIDENTIAL,2992,$56773.13,$121391.88,$178165.01,$5633.85
88,2019,ATLANTIC,ESTELL MANOR CITY, 08319,RESIDENTIAL,317,$54500.00,$158911.36,$213411.36,$5134.65
91,2019,ATLANTIC,ESTELL MANOR CITY,08319,RESIDENTIAL,333,$40934.23,$98402.10,$139336.34,$3357.09
92,2019,ATLANTIC,FOLSOM BORO, 08037,RESIDENTIAL,231,$87048.05,$158803.90,$245851.95,$4895.88
