County,Town,Zip Code,Zip Type
Middlesex,Avenel,07001,Standard
Hudson,Bayonne,07002,Standard
Essex,Bloomfield,07003,Standard
Essex,Fairfield,07004,Standard
Morris,Boonton,07005,Standard
Essex,Caldwell,07006,Standard
Essex,Caldwell,07007,P.O. Box
Middlesex,Carteret,07008,Standard
Essex,Cedar Grove,07009,Standard
Bergen,Cliffside Park,07010,Standard
Passaic,Clifton,07011,Standard
Passaic,Clifton,07012,Standard
Passaic,Clifton,07013,Standard
Passaic,Clifton,07014,Standard
Passaic,Clifton,07015,P.O. Box
Union,Cranford,07016,Standard
Essex,East Orange,07017,Standard
Essex,East Orange,07018,Standard
Essex,East Orange,07019,P.O. Box
Bergen,Edgewater,07020,Standard
Essex,Essex Fells,07021,Standard
Bergen,Fairview,07022,Standard
Union,Fanwood,07023,Standard
Bergen,Fort Lee,07024,Standard
Bergen,Garfield,07026,Standard
Union,Garwood,07027,Standard
Essex,Glen Ridge,07028,Standard
Hudson,Harrison,07029,Standard
Hudson,Hoboken,07030,Standard
Bergen,North Arlington,07031,Standard
Hudson,Kearny,07032,Standard
Union,Kenilworth,07033,Standard
Morris,Lake Hiawatha,07034,Standard
Morris,Lincoln Park,07035,Standard
Union,Linden,07036,Standard
Essex,Livingston,07039,Standard
Essex,Maplewood,07040,Standard
Essex,Millburn,07041,Standard
Essex,Montclair,07042,Standard
Essex,Montclair,07043,Standard
Essex,Verona,07044,Standard
Morris,Montville,07045,Standard
Morris,Mountain Lakes,07046,Standard
Hudson,North Bergen,07047,Standard
Essex,Orange,07050,Standard
Essex,Orange,07051,P.O. Box
Essex,West Orange,07052,Standard
Morris,Parsippany,07054,Standard
Passaic,Passaic,07055,Standard
Bergen,Wallington,07057,Standard
Morris,Pine Brook,07058,Standard
Somerset,Warren,07059,Standard
Union,Plainfield,07060,Standard
Union,Plainfield,07061,P.O. Box
Union,Plainfield,07062,Standard
Union,Plainfield,07063,Standard
Middlesex,Port Reading,07064,Standard
Union,Rahway,07065,Standard
Union,Clark,07066,Standard
Middlesex,Colonia,07067,Standard
Essex,Roseland,07068,Standard
Somerset,Watchung,07069,Standard
Bergen,Rutherford,07070,Standard
Bergen,Lyndhurst,07071,Standard
Bergen,Carlstadt,07072,Standard
Bergen,East Rutherford,07073,Standard
Bergen,Moonachie,07074,Standard
Bergen,Wood Ridge,07075,Standard
Union,Scotch Plains,07076,Standard
Middlesex,Sewaren,07077,Standard
Essex,Short Hills,07078,Standard
Essex,South Orange,07079,Standard
Middlesex,South Plainfield,07080,Standard
Union,Springfield,07081,Standard
Morris,Towaco,07082,Standard
Union,Union,07083,Standard
Hudson,Weehawken,07086,Standard
Hudson,Union City,07087,Standard
Union,Vauxhall,07088,Standard
Union,Westfield,07090,Standard
Union,Westfield,07091,P.O. Box
Union,Mountainside,07092,Standard
Hudson,West New York,07093,Standard
Hudson,Secaucus,07094,Standard
Middlesex,Woodbridge,07095,Standard
Hudson,Secaucus,07096,P.O. Box
Hudson,Jersey City,07097,Unique
Hudson,Kearny,07099,Unique
Essex,Newark,07101,P.O. Box
Essex,Newark,07102,Standard
Essex,Newark,07103,Standard
Essex,Newark,07104,Standard
Essex,Newark,07105,Standard
Essex,Newark,07106,Standard
Essex,Newark,07107,Standard
Essex,Newark,07108,Standard
Essex,Belleville,07109,Standard
Essex,Nutley,07110,Standard
Essex,Irvington,07111,Standard
Essex,Newark,07112,Standard
Essex,Newark,07114,Standard
Essex,Newark,07175,Unique
Essex,Newark,07184,Unique
Essex,Newark,07188,Unique
Essex,Newark,07189,Unique
Essex,Newark,07191,Unique
Essex,Newark,07192,Unique
Essex,Newark,07193,Unique
Essex,Newark,07195,Unique
Essex,Newark,07198,Unique
Essex,Newark,07199,Unique
Union,Elizabeth,07201,Standard
Union,Elizabeth,07202,Standard
Union,Roselle,07203,Standard
Union,Roselle Park,07204,Standard
Union,Hillside,07205,Standard
Union,Elizabethport,07206,Standard
Union,Elizabeth,07207,P.O. Box
Union,Elizabeth,07208,Standard
Hudson,Jersey City,07302,Standard
Hudson,Jersey City,07303,P.O. Box
Hudson,Jersey City,07304,Standard
Hudson,Jersey City,07305,Standard
