ORINumber,City,Population,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft
NJ0010100,ABSECON CITY PD,8252.0,12.1,12.1,60.6,121.2,193.9,1926.8,72.7
NJ0010200,ATLANTIC CITY PD,38271.0,18.3,28.7,342.3,331.8,303.1,2597.3,185.5
NJ0010300,BRIGANTINE PD,8896.0,0.0,0.0,0.0,11.2,258.5,1180.3,11.2
NJ0010400,BUENA PD,4405.0,0.0,0.0,22.7,90.8,295.1,1316.7,22.7
NJ0010700,EGG HARBOR CITY PD,4162.0,0.0,0.0,96.1,120.1,840.9,2042.3,48.1
NJ0010800,EGG HARBOR TWP PD,43276.0,2.3,9.2,23.1,108.6,263.4,1767.7,53.1
NJ0011100,GALLOWAY TWP PD,36467.0,0.0,5.5,21.9,172.8,246.8,809.0,38.4
NJ0011200,HAMILTON TWP PD,26380.0,7.6,11.4,49.3,147.8,371.5,2790.0,87.2
NJ0011300,HAMMONTON PD,14311.0,0.0,0.0,34.9,28.0,209.6,775.6,55.9
NJ0011400,LINWOOD CITY PD,6822.0,14.7,0.0,29.3,14.7,175.9,586.3,14.7
NJ0011500,LONGPORT PD,873.0,0.0,0.0,0.0,0.0,0.0,343.6,229.1
NJ0011600,MARGATE PD,6045.0,0.0,16.5,16.5,115.8,711.3,1521.9,0.0
NJ0011700,MULLICA TWP PD,6005.0,0.0,0.0,16.7,83.3,549.5,516.2,116.6
NJ0011800,NORTHFIELD PD,8324.0,0.0,0.0,24.0,72.1,348.4,564.6,24.0
NJ0011900,PLEASANTVILLE PD,20799.0,4.8,91.4,158.7,187.5,476.0,937.5,57.7
NJ0012100,SOMERS POINT PD,10436.0,0.0,28.7,57.5,47.9,287.5,2002.7,67.1
NJ0012200,VENTNOR PD,10182.0,29.5,0.0,49.1,88.4,530.3,1954.4,58.9
NJ0020100,ALLENDALE PD,6865.0,0.0,14.6,0.0,29.1,58.3,335.0,43.7
NJ0020200,ALPINE PD,1873.0,0.0,53.4,0.0,0.0,213.6,587.3,480.5
NJ0020300,BERGENFIELD PD,27684.0,0.0,0.0,3.6,0.0,43.3,216.7,14.4
NJ0020400,BOGOTA PD,8499.0,11.8,0.0,11.8,0.0,94.1,400.0,35.3
NJ0020500,CARLSTADT PD,6252.0,0.0,0.0,32.0,64.0,80.0,1263.6,48.0
NJ0020600,CLIFFSIDE PARK PD,25001.0,0.0,20.0,16.0,24.0,68.0,484.0,48.0
NJ0020700,CLOSTER PD,8691.0,0.0,0.0,0.0,11.5,11.5,563.8,92.0
NJ0020800,CRESSKILL PD,8862.0,0.0,0.0,0.0,11.3,124.1,282.1,124.1
NJ0020900,DEMAREST PD,4977.0,0.0,0.0,0.0,0.0,40.2,200.9,180.8
NJ0021000,DUMONT PD,17825.0,0.0,0.0,11.2,16.8,33.7,241.2,0.0
NJ0021200,EAST RUTHERFORD PD,9941.0,0.0,30.2,30.2,80.5,150.9,1237.3,100.6
NJ0021300,EDGEWATER PD,12318.0,0.0,0.0,24.4,81.2,24.4,1031.0,56.8
NJ0021100,ELMWOOD PARK PD,20277.0,0.0,0.0,69.0,93.7,182.5,1400.6,103.6
NJ0021400,EMERSON PD,7679.0,0.0,0.0,0.0,26.0,26.0,416.7,26.0
NJ0021600,ENGLEWOOD CLIFFS PD,5395.0,0.0,0.0,0.0,18.5,315.1,704.4,129.7
NJ0021500,ENGLEWOOD PD,28988.0,0.0,20.7,65.5,207.0,155.2,741.7,72.4
NJ0021700,FAIR LAWN PD,33413.0,6.0,0.0,12.0,38.9,116.7,763.2,29.9
NJ0021800,FAIRVIEW PD,14428.0,0.0,0.0,173.3,69.3,201.0,755.5,41.6
NJ0021900,FORT LEE PD,37729.0,0.0,8.0,15.9,34.5,84.8,583.1,50.4
NJ0022000,FRANKLIN LAKES BORO PD,11191.0,0.0,0.0,8.9,0.0,62.6,411.0,53.6
NJ0022100,GARFIELD PD,32203.0,0.0,34.2,83.8,127.3,189.4,1490.5,136.6
NJ0022200,GLEN ROCK PD,11937.0,0.0,0.0,0.0,0.0,8.4,393.7,8.4
NJ0022300,HACKENSACK PD,44926.0,0.0,33.4,62.3,162.5,80.1,1286.6,77.9
NJ0022400,HARRINGTON PARK PD,4802.0,0.0,0.0,0.0,0.0,145.8,62.5,62.5
NJ0022500,HASBROUCK HEIGHTS PD,12163.0,0.0,0.0,0.0,8.2,0.0,419.3,0.0
NJ0022600,HAWORTH PD,3463.0,0.0,0.0,0.0,0.0,28.9,317.6,0.0
NJ0022700,HILLSDALE PD,10484.0,0.0,0.0,9.5,19.1,28.6,352.9,9.5
NJ0022800,HO-HO-KUS PD,4139.0,0.0,0.0,0.0,24.2,241.6,483.2,24.2
