Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft
0.0,12.1,12.1,48.4,278.7,2132.8999999999996,60.6
26.099999999999998,47.0,475.5,263.8,339.8,3968.9999999999995,232.5
0.0,0.0,0.0,11.2,168.7,651.9,22.4
0.0,22.7,0.0,68.1,363.2,635.6,68.1
0.0,24.0,240.39999999999998,216.3,913.0999999999999,3123.5,120.19999999999999
0.0,0.0,23.1,97.0,210.29999999999998,1289.4,53.2
0.0,5.4,5.4,159.0,257.6,691.1,57.599999999999994
0.0,3.8,49.300000000000004,72.1,185.7,1436.6999999999998,87.1
0.0,7.0,28.0,139.8,174.6,545.1,84.0
0.0,0.0,0.0,29.4,146.5,1143.4,58.7
0.0,0.0,0.0,114.5,343.6,801.8,0.0
0.0,0.0,33.0,66.1,909.8999999999999,1389.6000000000001,16.5
0.0,0.0,16.7,16.7,366.29999999999995,716.0,100.0
0.0,0.0,0.0,48.0,108.1,480.49999999999994,72.0
4.8,19.2,124.89999999999999,144.2,413.5,716.4000000000001,115.4
0.0,19.2,19.2,67.1,210.79999999999998,2194.3,86.19999999999999
0.0,39.2,19.6,88.4,648.1999999999999,2769.6000000000004,157.2
0.0,0.0,0.0,0.0,116.6,378.8,58.300000000000004
0.0,0.0,0.0,0.0,106.8,106.8,213.6
3.6,3.6,0.0,46.9,39.7,223.99999999999997,7.2
0.0,0.0,23.6,0.0,58.8,305.9,23.6
0.0,0.0,32.0,96.0,64.0,975.5999999999999,128.0
0.0,4.0,20.0,48.0,32.0,376.0,0.0
0.0,11.5,0.0,46.0,0.0,448.79999999999995,46.0
0.0,11.3,11.3,0.0,67.7,203.2,45.2
0.0,0.0,0.0,40.2,80.4,100.5,60.300000000000004
0.0,0.0,5.6,27.999999999999996,11.2,291.7,0.0
0.0,0.0,59.2,64.2,182.5,1060.3,108.5
0.0,0.0,20.2,20.2,80.5,985.8000000000001,110.60000000000001
0.0,8.1,16.2,8.1,89.4,1087.8000000000002,32.4
0.0,0.0,0.0,13.0,26.0,325.6,52.1
6.9,34.4,62.0,141.4,220.7,886.5999999999999,75.8
0.0,0.0,0.0,18.5,500.4,222.39999999999998,166.8
0.0,0.0,3.0,18.0,95.69999999999999,559.5999999999999,50.9
6.9,6.9,76.2,97.1,263.4,720.8,69.30000000000001
