Rank,Zip Code,Population
1,08701,100763
2,07055,70199
3,07087,68484
4,07002,65300
5,07305,64535
6,07093,63913
7,08753,63026
8,07047,61970
9,08901,57659
10,08854,56931
11,08527,56261
12,07083,55183
13,07728,55039
14,07470,54190
15,07111,54035
16,08861,53879
17,08873,53686
18,07030,53211
19,07306,52945
20,07105,52033
21,07104,51250
22,08831,50174
23,08081,49836
24,08540,48968
25,07003,48810
26,07052,47210
27,08816,46660
28,07060,45986
29,08302,45352
30,08053,45193
31,07960,44907
32,08817,44823
33,07601,44381
34,08021,44245
35,07304,44233
36,07726,43870
37,07302,43770
38,07036,43607
39,07307,43055
40,18042,42357
41,08360,42197
42,08234,42081
43,07032,41523
44,08054,41518
45,07202,41235
46,08902,41135
47,08724,40924
48,07666,40543
49,08094,40337
50,08857,40335
51,07011,40173
52,08618,39731
53,08844,39520
54,08820,38796
55,08807,38748
56,07731,38483
57,07712,38443
58,08012,38407
59,08401,38372
60,07753,37597
61,07107,37524
62,07024,37008
63,08080,36988
64,08332,36119
65,07109,36019
66,07017,35731
67,08096,35686
68,08757,33999
69,07106,33583
70,08016,33406
71,07410,33081
72,08723,32944
73,08759,32803
74,07103,32471
75,07501,32028
76,08648,31725
77,07026,31697
78,08046,31525
79,07208,31442
80,07747,31146
81,08822,31119
82,07740,30889
83,08610,30493
84,07050,30324
85,07090,30068
86,08003,29849
87,07840,29825
88,07039,29698
89,07054,29516
90,07065,29370
91,08043,29223
92,08865,28846
93,07018,28756
94,08075,28731
95,08105,28534
96,07110,28428
97,07631,28238
98,08330,27809
99,07201,27790
100,07206,27660
101,08205,27630
102,07748,27396
103,07621,27372
104,08055,27355
105,08520,27093
106,07675,27044
107,07920,27017
108,07013,26950
109,07424,26948
110,07652,26613
111,08611,26608
112,07430,26325
113,07042,26029
114,08755,25835
115,07869,25820
116,07112,25555
117,07006,25529
118,07860,25425
119,07450,25283
120,07801,25026
121,08087,24953
122,08050,24930
123,07010,24883
124,07644,24498
125,07040,24471
126,08060,24364
127,08742,24292
128,07076,24121
129,08005,24013
130,07016,23882
131,08088,23864
132,07701,23861
133,07080,23854
134,08037,23800
135,07008,23682
136,07901,23335
137,07866,22831
138,08879,22733
139,08002,22651
140,07508,22645
141,08104,22441
142,08109,22385
143,08859,22312
144,08638,22294
145,08876,22059
146,07108,22047
147,07071,22030
148,07205,21895
149,07203,21582
150,07719,21331
151,07724,21105
152,08619,21013
153,08028,20919
154,08721,20873
155,08085,20731
156,08057,20705
157,07650,20536
158,08872,20324
159,07871,20255
160,07407,20112
161,07522,20104
162,10990,20010
163,08731,19956
164,08536,19793
165,07751,19715
166,08015,19585
167,07095,19540
168,08232,19403
169,07094,19390
170,08550,19246
171,08077,19197
172,07950,19148
173,07514,19044
174,07928,18956
175,07029,18889
176,07506,18802
177,08361,18730
178,08052,18729
179,08690,18676
180,08204,18608
181,08110,18598
182,07735,18586
183,07746,18532
184,07461,18522
185,08034,18444
186,07070,18427
187,07001,18307
188,08108,18252
189,07503,18226
190,07067,18079
191,08505,18078
192,08852,18052
193,08830,17940
194,07834,17852
195,07628,17694
196,07405,17620
197,07081,17398
198,08837,17208
199,07940,17156
200,07481,17047
201,07730,16991
202,07502,16791
203,07646,16578
204,07733,16566
205,07079,16473
