City,2018 Rank,2018 Avg Score
Aberdeen,126.0,80.55867
Absecon,651.0,41.017145
Allamuchy,576.0,51.922225
Allendale,1.0,97.40906333333332
Allentown,234.33333333333334,72.63329666666665
Alloway,576.0,51.14633
Alpha,701.0,37.79826
Alpine,26.0,95.25073499999999
Annandale,26.0,86.60737
Asbury,251.0,78.25444
Asbury Park,856.0,21.112519999999996
Atco,651.0,25.66022
Atlantic City,809.3333333333334,23.456633888888884
Atlantic Highlands,276.0,79.76612
Audubon,351.0,54.81753666666666
Avalon,201.0,70.32186999999999
Avenel,784.3333333333334,35.02019666666666
Avon by the Sea,201.0,80.072175
Barnegat,626.0,43.83669666666666
Barrington,401.0,47.04915
Basking Ridge,67.66666666666667,92.43406166666666
Bay Head,226.0,79.796505
Bayonne,533.6086956521739,50.18398086956522
Bayville,681.0,36.498966
Beach Haven,701.0,51.641729999999995
Beachwood,701.0,35.769005
Bedminster,226.0,78.97631
Belford,551.0,62.3625
Belleville,678.7777777777778,42.59010000000001
Bellmawr,751.0,39.304759999999995
Belmar,601.0,45.545085
Belvidere,591.0,38.291985999999994
Bergenfield,329.57142857142856,67.91648571428571
Berkeley Heights,101.0,63.77547
Berkeley Hts,51.0,91.3675075
Berlin,426.0,62.626239999999996
Bernardsville,234.33333333333334,70.41048333333333
Beverly,576.0,51.14633
Blackwood,676.0,40.63832874999999
Blairstown,491.0,48.406715999999996
Bloomfield,566.0,53.737365999999994
Bloomingdale,476.0,58.295919999999995
Bloomsbury,851.0,40.764379999999996
Bogota,263.5,67.2782175
Boonton,226.0,75.02307666666665
Bordentown,401.0,54.196715
Bound Brook,717.6666666666666,15.639973333333332
Bradley Beach,801.0,29.060685
Branchburg,1.0,98.11171999999999
Branchville,326.0,68.95076499999999
Brick,576.0,50.34987833333333
Bridgeton,858.1428571428571,16.719158571428565
Bridgewater,176.0,80.51601749999999
Brielle,101.0,85.656145
Brigantine,626.0,40.822739999999996
Brooklawn,751.0,29.923795
Brookside,1.0,98.36158999999999
Browns Mills,1026.0,27.097005000000003
Budd Lake,334.3333333333333,73.93788333333333
Buena,451.0,21.30115
Burlington,522.4285714285714,32.10604571428571
Butler,251.0,69.14346333333333
Caldwell,276.0,71.507695
Califon,211.0,81.28547599999999
Camden,829.2608695652174,14.57243217391305
Cape May,538.5,46.1874275
Cape May Court House,451.0,41.19012399999999
Carlstadt,576.0,47.249584999999996
Carneys Point,626.0,28.771985
Carteret,711.0,33.197254
Cedar Grove,176.0,74.68154249999999
