,Dist ID,Dist Name,City,Zip Code,Address,Lat,Lng,2018 Rank,2018 Rank of,2018 Rank Stars,2018 State Rank,2018 Rank Score,2019 Rank,2019 Rank of,2019 Rank Stars,2019 State Rank,2019 Rank Score,2019 Student Count,Low Grade,High Grade,School Count
0,3409930,Mendham Township School District,Brookside,07926,18 West Main Street,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,696.0,PK,8,2
1,3414370,Rumson Borough School District,Rumson,07760,60 Forrest Avenue,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,PK,8,2
2,3403390,Closter Public School District,Closter,07624,340 Homans Avenue,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,PK,8,2
3,3404950,Fair Haven School District,Fair Haven,07704,224 Hance Road,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,PK,8,2
4,3400750,Allendale Public School District,Allendale,07401,100 Brookside Avenue,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,PK,8,2
5,3411520,North Caldwell School District,North Caldwell,07006,132A Gould Avenue,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,PK,6,2
6,3418040,Union County Vocational-Technical School District,Scotch Plains,07076,1776 Raritan Road,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,9,12,8
7,3400043,Princeton Charter School,Princeton,08540,100 Bunn Drive,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,K,8,1
8,3417500,Monmouth County Vocational School District,Freehold,07728,4000 Kozloski Road,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,9,12,9
9,3400870,Alpine Elementary School District,Alpine,07620,500 Hillside Ave.,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,K,8,1
10,3407320,Ho-Ho-Kus School District,Ho Ho Kus,07423,70 Lloyd Road,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,PK,8,1
11,3404770,Englewood Cliffs School District,Englewood Cliffs,07632,143 Charlotte Place,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,PK,8,2
12,3414520,Saddle River School Distict,Saddle River,07458,97 E. Allendale Road,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,PK,5,1
13,3410200,Millburn Township School District,Millburn,07041,434 Millburn Avenue,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,PK,12,8
14,3414730,Sea Girt Borough School District,Sea Girt,08750,451 Bell Place,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,PK,8,1
15,3416620,Upper Saddle River School District,Upper Saddle River,07458,395 West Saddle River Road,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,PK,8,3
16,3404830,Essex Fells School District,Essex Fells,07021,102 Hawthorne Road,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,PK,6,1
17,3406720,Harding Township School District,New Vernon,07976,34 Lees Hill Road,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,PK,8,1
18,3410720,Morris County Vocational School District,Denville,07834,400 East Main Street,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,9,12,5
19,3408790,Little Silver Boro School District,Little Silver,07739,124 Willow Drive,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,PK,8,2
20,3415810,Stone Harbor School District,Stone Harbor,08247,275 93rd Street,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,K,4,1
21,3400735,Hatikvah International Academy Charter School,East Brunswick,08816,7 Lexington Avenue,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,K,8,1
22,3411310,New Providence School District,New Providence,07974,356 Elkwood Avenue,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,PK,12,4
23,3400767,Jersey City Global Charter School,Jersey City,07307,255 Congress Street,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,K,7,1
24,3408730,Little Falls Township Public School District,Little Falls,07424,560 Main Street,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,PK,8,3
25,3418210,Woodcliff Lake School District,Woodcliff Lake,07677,134 Woodcliff Avenue,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,PK,8,2
26,3411760,Northern Valley Regional High School District,Demarest,07627,162 Knickerbocker Road,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,PK,12,3
27,3409690,Margate City School District,Margate City,08402,8103 Winchester Avenue,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,PK,8,2
28,3415900,Summit Public School District,Summit,07901,14 Beekman Terrace,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,PK,12,9
29,3401470,Bergen County Vocational Technical School District,Paramus,07652,540 Farview Avenue,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,9,12,5
30,3402610,Califon Borough School District,Califon,07830,6 School St,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,PK,8,1
31,3413890,River Edge School District,River Edge,07661,410 Bogert Road,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,PK,6,2
32,3412240,Oradell Public School District,Oradell,07649,350 Prospect Avenue,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,PK,6,1
33,3410380,Monmouth Beach School District,Monmouth Beach,07750,7 Hastings Place,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,PK,8,1
34,3406840,Harrington Park School District,Harrington Park,07640,191 Harriot Avenue,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,PK,8,1
35,3409810,Maywood School District,Maywood,07607,452 Maywood Avenue,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,PK,8,2
36,3412260,River Dell Regional School District,River Edge,07661,230 Woodland Avenue,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,7,12,2
37,3400025,Robert Treat Academy Charter School,Newark,07104,443 Clifton Avenue,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,K,8,1
38,3405940,Glen Ridge Public School District,Glen Ridge,07028,12 High Street,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,PK,12,4
39,3413830,Ridgewood Public School District,Ridgewood,07450,49 Cottage Place,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,PK,12,10
40,3400734,Hoboken Dual Language Charter School,Hoboken,07030,123 Jefferson Street,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,K,8,1
41,3408820,Livingston Board of Education School District,Livingston,07039,11 Foxcroft Drive,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,PK,12,10
42,3416110,Tenafly Public School District,Tenafly,07670,500 Tenafly Road,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,PK,12,6
43,3406960,Haworth Public School District,Haworth,07641,205 Valley Road,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,PK,8,1
44,3411730,Northern Highlands Regional High School District,Allendale,07401,298 Hillside Avenue,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,9,12,1
45,3403810,Demarest School District,Demarest,07627,568 Piermont Road,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,PK,8,3
46,3400004,School District of the Chathams,Chatham,07928,58 Meyersville Road,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,PK,12,6
47,3417550,West Morris Regional High School District,Chester,07930,10 South Four Bridges Road,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,9,12,2
48,3411040,Mountainside School District,Mountainside,07092,1497 Woodacres Drive,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,PK,8,2
49,3412180,Old Tappan Public School District,Old Tappan,07675,277 Old Tappan Rd.,,,1,618,5,99.84,0.9942911,2,5,611,99.67,0.9908835,,PK,8,2
0,3410650,Montville Township School District,Montville,07045,86 River Road,,,51,618,5,91.75,0.9095565,67,4,611,89.03,0.8851655,3645.0,PK,12,7
1,3409330,Mahwah Township Public School District,Mahwah,07430,60 Ridge Rd.,,,51,618,5,91.75,0.9095565,67,4,611,89.03,0.8851655,,PK,12,6
2,3411010,Mountain Lakes Public School District,Mountain Lakes,07046,400 Boulevard,,,51,618,5,91.75,0.9095565,67,4,611,89.03,0.8851655,,PK,12,4
3,3416170,Tewksbury Township School District,Califon,07830,173 Old Turnpike Road,,,51,618,5,91.75,0.9095565,67,4,611,89.03,0.8851655,,PK,8,2
4,3405970,Glen Rock Public School District,Glen Rock,07452,620 Harristown Road,,,51,618,5,91.75,0.9095565,67,4,611,89.03,0.8851655,,PK,12,6
5,3414220,Roosevelt Boro,Roosevelt,08555,2a School Lane,,,51,618,5,91.75,0.9095565,67,4,611,89.03,0.8851655,,PK,6,1
6,3412510,Pascack Valley Regional High School District,Montvale,07645,28 West Grand Avenue,,,51,618,5,91.75,0.9095565,67,4,611,89.03,0.8851655,,4,12,3
7,3410710,Moorestown Township Public School District,Moorestown,08057,803 North Stanwick Road,,,51,618,5,91.75,0.9095565,67,4,611,89.03,0.8851655,,PK,12,6
8,3405010,Fairfield Public Schools School District,Fairfield,07004,15 Knoll Road,,,51,618,5,91.75,0.9095565,67,4,611,89.03,0.8851655,,PK,6,2
9,3403540,Cranbury Township School District,Cranbury,08512,23 North Main Street,,,51,618,5,91.75,0.9095565,67,4,611,89.03,0.8851655,,PK,8,1
10,3417460,West Essex Regional School District,North Caldwell,07006,65 West Greenbrook Road,,,51,618,5,91.75,0.9095565,67,4,611,89.03,0.8851655,,7,12,2
