,Unnamed: 0,School ID,City,Zip Code,2019 Rank,2019 Rank Level,2019 Avg Score,School Level
0,0,341269004924,Paterson,7522,1.0,Elementary,98.13338,Elementary
1,1,340933000596,Mahwah,7430,1.0,Elementary,98.13338,Elementary
2,2,340074603143,Somerset,8873,1.0,Elementary,98.13338,Other
3,3,341638000143,Union City,7087,1.0,Elementary,98.13338,Elementary
4,4,340459005524,Elizabeth,7202,1.0,Elementary,98.13338,Middle
5,5,341590005718,Summit,7901,1.0,Elementary,98.13338,Elementary
6,6,341020002154,Short Hills,7078,1.0,Elementary,98.13338,Elementary
7,7,340783002834,Jersey City,7302,1.0,Elementary,98.13338,Elementary
8,8,340004300323,Princeton,8540,1.0,Elementary,98.13338,Elementary
9,9,340993004320,Brookside,7926,1.0,Elementary,98.13338,Elementary
10,10,340477000406,Englewood Cliffs,7632,1.0,Elementary,98.13338,Middle
11,11,341521003628,Monmouth Junction,8852,1.0,Elementary,98.13338,Elementary
12,12,340498000416,Fair Lawn,7410,1.0,Elementary,98.13338,Elementary
13,13,341152002372,N Caldwell,7006,1.0,Elementary,98.13338,Elementary
14,14,341383000780,Ridgewood,7451,1.0,Elementary,98.13338,Elementary
15,15,340339000316,Closter,7624,1.0,Elementary,98.13338,Elementary
16,16,341437004090,Rumson,7760,1.0,Elementary,98.13338,Elementary
17,17,340597000490,Glen Rock,7452,1.0,Elementary,98.13338,Elementary
18,18,341020002162,Millburn,7041,1.0,Elementary,98.13338,Elementary
19,19,341071001142,Moorestown,8057,1.0,Elementary,98.13338,Elementary
20,20,341383000776,Ridgewood,7451,1.0,Elementary,98.13338,Elementary
21,21,340387004206,Denville,7834,1.0,Elementary,98.13338,Elementary
22,22,341020002156,Short Hills,7078,1.0,Elementary,98.13338,Elementary
23,23,341071001134,Moorestown,8057,1.0,Elementary,98.13338,Elementary
24,24,340165000355,Basking Ridge,7920,1.0,Elementary,98.13338,Elementary
25,25,340495003780,Fair Haven,7704,1.0,Elementary,98.13338,Elementary
26,26,341473004098,Sea Girt,8750,1.0,Elementary,98.13338,Elementary
27,27,340075000226,Allendale,7401,1.0,Elementary,98.13338,Elementary
28,28,341383000772,Ridgewood,7451,1.0,Elementary,98.13338,Elementary
29,29,341776005782,Westfield,7090,1.0,Elementary,98.13338,Elementary
30,30,340228006126,Bridgewater,8807,1.0,Elementary,98.13338,Elementary
31,31,341590005714,Summit,7901,1.0,Elementary,98.13338,Elementary
32,32,340459000013,Elizabeth,7206,1.0,Elementary,98.13338,Middle
33,33,341020002152,Short Hills,7078,1.0,Elementary,98.13338,Elementary
34,34,341383000774,Ridgewood,7450,1.0,Elementary,98.13338,Elementary
35,35,340450003366,Edison,8820,1.0,Elementary,98.13338,Elementary
36,36,341152002374,N Caldwell,7006,1.0,Elementary,98.13338,Elementary
37,37,341389000792,River Edge,7661,1.0,Elementary,98.13338,Elementary
38,38,341101004422,Mountain Lakes,7046,1.0,Elementary,98.13338,Elementary
39,39,341590005722,Summit,7901,1.0,Elementary,98.13338,Elementary
40,40,341452000834,Saddle River,7458,1.0,Elementary,98.13338,Elementary
41,41,340933000588,Mahwah,7430,1.0,Elementary,98.13338,Elementary
42,42,340927003524,Old Bridge,8857,1.0,Elementary,98.13338,Elementary
43,43,340483002082,Essex Fells,7021,1.0,Elementary,98.13338,Elementary
44,44,340537000460,Franklin Lakes,7417,1.0,Elementary,98.13338,Elementary
45,45,340153005440,Berkeley Hts,7922,1.0,Elementary,98.13338,Elementary
46,46,341662000882,Upper Saddle River,7458,1.0,Elementary,98.13338,Elementary
47,47,340357005466,Cranford,7016,1.0,Elementary,98.13338,Elementary
