,Zip Code,Township,Population
0,08753,Toms River,"55,159"
1,08701,Lakewood,"52,778"
2,07055,Passaic,"51,244"
3,07002,Bayonne,"49,850"
4,07087,Union City,"47,868"
5,08527,Jackson,"47,406"
6,07470,Wayne,"46,902"
7,07305,Jersey City,"46,569"
8,07728,Freehold,"46,233"
9,07083,Union,"45,808"
10,07047,North Bergen,"45,454"
11,08854,Piscataway,"43,472"
12,08873,Somerset,"42,921"
13,08816,East Brunswick,"42,868"
14,07093,West New York,"42,640"
15,07111,Irvington,"41,875"
16,08861,Perth Amboy,"41,825"
17,08081,Sicklerville,"41,753"
18,08831,Monroe Township,"41,128"
19,08053,Marlton,"40,939"
20,07003,Bloomfield,"40,014"
21,08817,Edison,"39,684"
22,07726,Englishtown,"39,570"
23,07306,Jersey City,"39,173"
24,07052,West Orange,"39,097"
25,08054,Mount Laurel,"38,300"
26,08540,Princeton,"38,222"
27,08234,Egg Harbor Township,"37,623"
28,08021,Clementon,"37,348"
29,08724,Brick,"37,268"
30,07030,Hoboken,"37,267"
31,08820,Edison,"35,691"
32,08360,Vineland,"35,585"
33,07104,Newark,"35,277"
34,07036,Linden,"35,142"
35,07731,Howell,"35,010"
36,08902,North Brunswick,"34,952"
37,08844,Hillsborough,"34,693"
38,08857,Old Bridge,"34,538"
39,07601,Hackensack,"34,232"
40,07307,Jersey City,"34,041"
41,08807,Bridgewater,"33,977"
42,08080,Sewell,"33,729"
43,07960,Morristown,"33,647"
44,07666,Teaneck,"33,593"
45,08094,Williamstown,"33,155"
46,08012,Blackwood,"33,128"
47,07011,Clifton,"32,734"
48,07060,Plainfield,"32,363"
49,08302,Bridgeton,"32,331"
50,07712,Asbury Park,"31,680"
51,07032,Kearny,"31,241"
52,07304,Jersey City,"31,180"
53,07753,Neptune,"30,970"
54,07109,Belleville,"30,299"
55,07024,Fort Lee,"29,968"
56,08096,West Deptford,"29,504"
57,07105,Newark,"29,429"
58,08332,Millville,"29,211"
59,08401,Atlantic City,"29,186"
60,07202,Elizabeth,"29,174"
61,07410,Fair Lawn,"29,095"
62,07302,Jersey City,"28,393"
63,08901,New Brunswick,"28,187"
64,08723,Brick,"27,903"
65,08759,Manchester Township,"27,892"
66,08003,Cherry Hill,"27,889"
67,08016,Burlington,"27,446"
68,08822,Flemington,"27,375"
69,08046,Willingboro,"27,170"
70,07039,Livingston,"27,160"
71,07747,Matawan,"26,986"
72,08757,Toms River,"26,967"
73,07090,Westfield,"26,906"
74,07054,Parsippany,"26,016"
75,07107,Newark,"25,902"
76,08648,Lawrence Township,"25,629"
77,08610,Trenton,"25,618"
78,07748,Middletown,"25,426"
79,07017,East Orange,"25,182"
80,07026,Garfield,"25,066"
81,07110,Nutley,"25,001"
82,07840,Hackettstown,"24,882"
83,08055,Medford,"24,851"
84,08043,Voorhees,"24,732"
85,08075,Riverside,"24,711"
86,08618,Trenton,"24,531"
87,08205,Absecon,"24,427"
88,07920,Basking Ridge,"24,379"
89,07208,Elizabeth,"24,374"
90,08520,Hightstown,"24,186"
91,08865,Phillipsburg,"24,138"
92,07675,Westwood,"24,083"
93,07013,Clifton,"23,975"
94,08330,Mays Landing,"23,573"
95,07869,Randolph,"23,006"
96,07050,Orange,"22,984"
97,07621,Bergenfield,"22,950"
98,07652,Paramus,"22,875"
99,07501,Paterson,"22,824"
100,07065,Rahway,"22,711"
101,07006,Caldwell,"22,600"
102,07106,Newark,"22,439"
103,08742,Point Pleasant Beach,"22,127"
104,08088,Vincentown,"22,028"
105,07631,Englewood,"21,826"
106,07450,Ridgewood,"21,805"
107,08060,Mount Holly,"21,570"
108,07430,Mahwah,"21,442"
109,08755,Toms River,"21,432"
110,07076,Scotch Plains,"21,342"
111,07042,Montclair,"21,177"
112,07860,Newton,"21,086"
113,07040,Maplewood,"20,973"
114,08050,Manahawkin,"20,931"
115,07740,Long Branch,"20,885"
116,07080,South Plainfield,"20,808"
117,08037,Hammonton,"20,771"
118,07866,Rockaway,"20,639"
119,08087,Tuckerton,"20,609"
120,08859,Parlin,"20,576"
121,07801,Dover,"20,418"
122,07016,Cranford,"20,361"
123,07103,Newark,"20,135"
124,07424,Little Falls,"20,128"
125,08105,Camden,"20,084"
126,07644,Lodi,"19,903"
127,08005,Barnegat,"19,593"
128,08876,Somerville,"19,420"
129,07201,Elizabeth,"19,403"
130,07701,Red Bank,"19,393"
131,07018,East Orange,"19,385"
132,08619,Trenton,"19,382"
133,07901,Summit,"19,255"
134,07508,Haledon,"19,084"
135,07112,Newark,"19,082"
136,08109,Merchantville,"19,052"
137,07206,Elizabethport,"18,980"
138,07724,Eatontown,"18,937"
139,08879,South Amboy,"18,878"
140,08002,Cherry Hill,"18,807"
141,07205,Hillside,"18,782"
142,07719,Belmar,"18,512"
143,07871,Sparta,"18,457"
144,08057,Moorestown,"18,385"
145,08550,Princeton Junction,"18,383"
146,08690,Trenton,"18,316"
147,07008,Carteret,"18,300"
148,07751,Morganville,"18,058"
149,07010,Cliffside Park,"18,008"
150,08015,Browns Mills,"17,598"
151,07950,Morris Plains,"17,593"
152,08721,Bayville,"17,550"
153,07203,Roselle,"17,452"
154,07071,Lyndhurst,"17,397"
155,08731,Forked River,"17,395"
156,08536,Plainsboro,"17,344"
157,07746,Marlboro,"17,313"
158,07095,Woodbridge,"17,272"
159,08830,Iselin,"17,210"
160,08638,Trenton,"17,200"
161,07407,Elmwood Park,"17,030"
162,07928,Chatham,"16,921"
163,07461,Sussex,"16,853"
164,08872,Sayreville,"16,564"
165,07735,Keyport,"16,520"
166,08077,Riverton,"16,482"
167,07067,Colonia,"16,467"
168,08034,Cherry Hill,"16,356"
169,07506,Hawthorne,"16,150"
170,08232,Pleasantville,"16,127"
171,07834,Denville,"16,065"
172,07405,Butler,"16,050"
173,07108,Newark,"15,957"
174,08110,Pennsauken,"15,836"
175,07070,Rutherford,"15,695"
176,07522,Paterson,"15,644"
177,08052,Maple Shade,"15,607"
178,08085,Swedesboro,"15,563"
179,07733,Holmdel,"15,555"
180,08108,Collingswood,"15,534"
181,08204,Cape May,"15,523"
182,08505,Bordentown,"15,332"
183,07730,Hazlet,"15,325"
184,07628,Dumont,"15,212"
185,07481,Wyckoff,"15,208"
186,08840,Metuchen,"15,163"
187,08611,Trenton,"14,996"
188,08104,Camden,"14,926"
189,08033,Haddonfield,"14,871"
190,08361,Vineland,"14,832"
191,08852,Monmouth Junction,"14,675"
192,07503,Paterson,"14,649"
193,07059,Warren,"14,590"
194,07480,West Milford,"14,392"
195,07514,Paterson,"14,312"
196,07094,Secaucus,"14,192"
197,07646,New Milford,"14,165"
198,07081,Springfield,"14,082"
199,07031,North Arlington,"13,771"
200,08837,Edison,"13,761"
201,08210,Cape May Court House,"13,739"
202,07005,Boonton,"13,492"
203,08062,Mullica Hill,"13,484"
204,08028,Glassboro,"13,452"
205,08882,South River,"13,440"
206,07029,Harrison,"13,420"
207,07066,Clark,"13,402"
208,07446,Ramsey,"13,317"
209,07650,Palisades Park,"13,274"
210,08691,Trenton,"13,091"
211,07079,South Orange,"13,008"
212,07502,Paterson,"12,805"
213,07940,Madison,"12,693"
214,07078,Short Hills,"12,661"
215,07670,Tenafly,"12,590"
216,07882,Washington,"12,451"
217,07663,Saddle Brook,"12,144"
218,08812,Dunellen,"12,136"
219,08846,Middlesex,"12,094"
220,07044,Verona,"11,979"
221,08534,Pennington,"11,939"
222,07853,Long Valley,"11,904"
223,08260,Wildwood,"11,807"
224,08824,Kendall Park,"11,637"
225,07001,Avenel,"11,573"
226,07436,Oakland,"11,508"
227,08009,Berlin,"11,467"
228,07204,Roselle Park,"11,435"
229,08736,Manasquan,"11,328"
230,08904,Highland Park,"11,275"
231,08215,Egg Harbor City,"11,254"
232,07922,Berkeley Heights,"11,230"
233,07456,Ringwood,"11,161"
234,08070,Pennsville,"11,154"
235,07828,Budd Lake,"11,080"
236,08863,Fords,"11,015"
237,07043,Montclair,"10,966"
238,08318,Elmer,"10,908"
239,07660,Ridgefield Park,"10,825"
240,08620,Trenton,"10,800"
241,08107,Oaklyn,"10,754"
242,07009,Cedar Grove,"10,730"
243,07012,Clifton,"10,729"
244,07504,Paterson,"10,707"
245,07062,Plainfield,"10,678"
246,07936,East Hanover,"10,659"
247,07974,New Providence,"10,648"
248,07452,Glen Rock,"10,630"
249,08004,Atco,"10,625"
250,08048,Lumberton,"10,599"
251,07836,Flanders,"10,541"
252,07843,Hopatcong,"10,538"
253,07734,Keansburg,"10,496"
254,08069,Penns Grove,"10,482"
255,07458,Saddle River,"10,410"
256,08030,Gloucester City,"10,400"
257,07604,Hasbrouck Heights,"10,360"
258,07438,Oak Ridge,"10,328"
259,08226,Ocean City,"10,270"
260,07063,Plainfield,"10,226"
261,07444,Pompton Plains,"10,193"
262,08805,Bound Brook,"10,018"
263,08502,Belle Mead,"10,011"
264,07661,River Edge,"10,002"
265,07417,Franklin Lakes,"9,986"
266,07524,Paterson,"9,948"
267,07513,Paterson,"9,915"
268,07057,Wallington,"9,893"
269,08031,Bellmawr,"9,879"
270,08629,Trenton,"9,859"
271,07876,Succasunna,"9,849"
272,07442,Pompton Lakes,"9,786"
273,08512,Cranbury,"9,761"
274,07086,Weehawken,"9,749"
275,07310,Jersey City,"9,640"
276,08722,Beachwood,"9,570"
277,07045,Montville,"9,442"
278,07722,Colts Neck,"9,440"
279,08406,Ventnor City,"9,419"
280,08244,Somers Point,"9,358"
281,07022,Fairview,"9,349"
282,08322,Franklinville,"9,278"
283,07932,Florham Park,"9,267"
284,07642,Hillsdale,"9,206"
285,08051,Mantua,"9,204"
286,07945,Mendham,"9,193"
287,07035,Lincoln Park,"9,191"
288,07657,Ridgefield,"9,186"
289,08201,Absecon,"9,186"
290,08010,Beverly,"9,089"
291,07512,Totowa,"9,063"
292,07885,Wharton,"8,999"
293,08835,Manville,"8,927"
294,07643,Little Ferry,"8,899"
295,07020,Edgewater,"8,894"
296,08079,Salem,"8,679"
297,08106,Audubon,"8,646"
298,08609,Trenton,"8,578"
299,08889,Whitehouse Station,"8,570"
300,07760,Rumson,"8,555"
301,07463,Waldwick,"8,512"
302,07607,Maywood,"8,372"
303,07034,Lake Hiawatha,"8,365"
304,08071,Pitman,"8,346"
305,08022,Columbus,"8,335"
306,08083,Somerdale,"8,321"
307,07874,Stanhope,"8,305"
308,07676,Township Of Washington,"8,290"
309,08203,Brigantine,"8,255"
310,08833,Lebanon,"8,101"
311,08103,Camden,"8,064"
312,07981,Whippany,"8,057"
313,07821,Andover,"8,046"
314,08251,Villas,"8,038"
315,08823,Franklin Park,"8,014"
316,07825,Blairstown,"8,003"
317,08093,Westville,"7,971"
318,07656,Park Ridge,"7,922"
319,07419,Hamburg,"7,852"
320,07849,Lake Hopatcong,"7,845"
321,08225,Northfield,"7,758"
322,08098,Woodstown,"7,744"
323,07073,East Rutherford,"7,669"
324,08628,Trenton,"7,650"
325,08850,Milltown,"7,643"
326,07930,Chester,"7,622"
327,07605,Leonia,"7,589"
328,08810,Dayton,"7,524"
329,07762,Spring Lake,"7,512"
330,08848,Milford,"7,470"
331,07624,Closter,"7,464"
332,07626,Cresskill,"7,423"
333,08090,Wenonah,"7,368"
334,07649,Oradell,"7,355"
335,07645,Montvale,"7,226"
336,07716,Atlantic Highlands,"7,144"
337,07004,Fairfield,"7,094"
338,08801,Annandale,"7,033"
339,08884,Spotswood,"7,032"
340,08086,Thorofare,"7,031"
341,07033,Kenilworth,"7,022"
342,08078,Runnemede,"7,017"
343,07921,Bedminster,"6,958"
344,07075,Wood Ridge,"6,891"
345,07603,Bogota,"6,889"
346,08734,Lanoka Harbor,"6,888"
347,07028,Glen Ridge,"6,868"
348,08221,Linwood,"6,768"
349,08008,Beach Haven,"6,743"
350,07023,Fanwood,"6,663"
351,08035,Haddon Heights,"6,656"
352,07421,Hewitt,"6,615"
353,07924,Bernardsville,"6,545"
354,08530,Lambertville,"6,511"
355,08312,Clayton,"6,392"
356,07630,Emerson,"6,374"
357,07403,Bloomingdale,"6,373"
358,07823,Belvidere,"6,372"
359,08066,Paulsboro,"6,356"
360,08065,Palmyra,"6,356"
361,08758,Waretown,"6,336"
362,07432,Midland Park,"6,264"
363,08533,New Egypt,"6,225"
364,07041,Millburn,"6,225"
365,07422,Highland Lakes,"6,178"
366,07114,Newark,"6,170"
367,08270,Woodbine,"6,102"
368,08084,Stratford,"6,077"
369,07727,Farmingdale,"6,073"
370,08558,Skillman,"6,048"
