Zip Code,Township
07747,Aberdeen  
08201,Absecon  
08205,Absecon  
07102,Academy  
07710,Adelphia  
08009,Albion  
07820,Allamuchy  
07840,Allamuchy Township 
07401,Allendale  
07711,Allenhurst  
08501,Allentown  
08720,Allenwood  
08001,Alloway  
07012,Allwood  
08096,Almonesson  
08865,Alpha  
07620,Alpine  
07017,Ampere  
08037,Ancora  
07821,Andover  
08260,Anglesea  
08801,Annandale  
07032,Arlington  
08802,Asbury  
07712,Asbury Park 
08034,Ashland  
08004,Atco  
08401,Atlantic City 
08404,Atlantic City 
08405,Atlantic City 
07716,Atlantic Highlands 
08085,Auburn  
08106,Audubon  
08106,Audubon Park 
07822,Augusta  
08028,Aura  
08202,Avalon  
07001,Avenel  
07717,Avon  
07421,Awosting  
07195,Bank of New
07198,Bank of New
08803,Baptistown  
08232,Bargaintown  
08234,Bargaintown  
08005,Barnegat Township 
08006,Barnegat Township 
08080,Barnsboro  
08007,Barrington  
07422,Barry Lakes 
07920,Basking Ridge 
07939,Basking Ridge 
08037,Batsto  
08742,Bay Head 
07002,Bayonne  
08721,Bayville  
07202,Bayway  
08008,Beach Haven 
08050,Beach Haven West
08722,Beachwood  
07416,Beaver Lake 
07921,Bedminster  
07461,Beemerville  
08223,Beesleys Point 
08330,Belcoville  
07718,Belford  
08502,Belle Mead 
08270,Belleplain  
07109,Belleville  
08031,Bellmawr  
08099,Bellmawr  
07715,Belmar  
07719,Belmar  
07823,Belvidere  
07002,Bergen Point 
07621,Bergenfield  
07087,Bergenline  
08753,Berkeley  
08757,Berkeley  
07922,Berkeley Heights 
08721,Berkeley Township 
08757,Berkeley Township 
08009,Berlin  
08009,Berlin Boro 
08091,Berlin Township 
07924,Bernardsville  
07201,Betsytown  
08010,Beverly  
08066,Billingsport  
08011,Birmingham  
08349,Bivalve  
08012,Blackwood  
08096,Blackwood Terrace 
07825,Blairstown  
08504,Blawenburg  
08012,Blenheim  
07003,Bloomfield  
07403,Bloomingdale  
08804,Bloomsbury  
08037,Blue Anchor 
